Order ID,Product,Category,Quantity Ordered,Price Each,Order Date,Purchase Address
1001,Wool Socks,Clothing,4.0,7.99,2025-03-16 03:15:41,"272 Rose Estate, Manuelport, MA 71245"
1002,USB-C Charging Cable,Electronics,,11.95,2025-02-28 23:42:18,"Unit 7492 Box 5217, DPO AA 02232"
1003,Flatscreen TV,Electronics,4.0,300.0,2025-04-08 11:32:04,"99154 Sampson Common Suite 309, Ryanburgh, WV 48895"
1004,Wool Socks,Clothing,5.0,7.99,2025-03-22 02:34:00,"5679 Vincent Branch Suite 910, Lake Christopherview, RI 37249"
1005,USB-C Charging Cable,Electronics,1.0,11.95,2025-04-16 18:20:15,"111 Park Walk, Joshuaberg, VA 51207"
1006,Coffee Maker,Home Appliances,2.0,89.99,2025-01-22 18:51:00,"088 Parker Trail Suite 251, Ricefurt, AK 46319"
1007,AAA Batteries (4-pack),Electronics,4.0,5.49,2025-02-10 05:11:11,"259 Jacob Rapid, Youngfort, ND 56479"
1008,AAA Batteries (4-pack),Electronics,3.0,5.49,2025-04-17 02:53:45,"8391 Smith Radial, Christianton, HI 89531"
1009,ThinkPad Laptop,Electronics,3.0,999.99,2025-03-26 19:40:22,"4622 Jermaine Brooks Suite 489, Edwardsmouth, NE 63341"
1010,Google Home Mini,Electronics,2.0,49.99,2025-02-25 09:35:42,"USS Hawkins, FPO AE 46273"
1011,Flatscreen TV,Electronics,,300.0,2025-02-04 19:54:59,"1250 Davenport Locks, Gonzalezborough, KS 17130"
1012,Google Home Mini,Electronics,2.0,49.99,2025-03-02 10:47:03,"7061 Baird Ridge, Nancytown, NY 16153"
1013,Bose Headphones,Electronics,4.0,99.99,2025-02-27 20:00:16,"8813 Mcdowell Crest Apt. 561, Port Meganburgh, ID 68136"
1014,Blender,Home Appliances,2.0,39.99,2025-04-18 22:13:56,"79132 Jason Light, Port Davidland, MS 27084"
1015,Coffee Maker,Home Appliances,1.0,89.99,2025-03-30 00:08:50,"04380 Kari Trail, West Lauren, OR 67479"
1016,Google Home Mini,Electronics,5.0,49.99,2025-04-06 15:40:24,"0537 Tyrone Gateway Suite 304, Josephville, ME 46330"
1017,ThinkPad Laptop,Electronics,4.0,999.99,2025-04-03 14:52:07,"97904 Farrell Parkway, Kingmouth, AZ 38838"
1018,Flatscreen TV,Electronics,5.0,300.0,2025-03-11 02:53:12,"691 Rodney Fork Suite 264, Floresmouth, NV 19827"
1019,Wool Socks,Clothing,3.0,7.99,2025-02-03 01:22:17,"66828 Stephanie Vista, Stephaniebury, VA 05418"
1020,Blender,Home Appliances,2.0,39.99,2025-03-15 05:52:42,"250 Nathan Plain Apt. 991, West Bryan, AL 95026"
1021,Wool Socks,Clothing,3.0,7.99,2025-01-24 15:08:28,"2113 Joseph Lodge Suite 795, North Ann, GA 24799"
1022,Coffee Maker,Home Appliances,,89.99,2025-03-09 07:30:55,"PSC 9924, Box 1435, APO AP 44563"
1023,ThinkPad Laptop,Electronics,1.0,999.99,2025-02-19 18:19:44,"04171 John Groves, Davidside, NM 22117"
1024,Blender,Home Appliances,4.0,39.99,2025-04-13 10:53:23,"11288 Crystal Stravenue, Port Shelleyborough, LA 17714"
1025,ThinkPad Laptop,Electronics,2.0,999.99,2025-03-18 23:56:14,"1571 Edwin Locks Apt. 218, Amandaberg, IL 43039"
1026,Blender,Home Appliances,4.0,39.99,2025-01-25 10:09:06,"2980 Jackson Loaf Apt. 193, New Tomstad, IA 49862"
1027,Blender,Home Appliances,5.0,39.99,2025-01-28 02:48:49,"077 Harris Shores, Thomasmouth, VA 95495"
1028,Coffee Maker,Home Appliances,3.0,89.99,2025-02-24 15:08:38,"14749 Cross Squares, Flowersville, ID 86637"
1029,Bose Headphones,Electronics,3.0,99.99,2025-03-28 02:09:17,"8415 Edwards Mount Apt. 225, Westbury, AK 93873"
1030,Coffee Maker,Home Appliances,2.0,89.99,2025-03-26 04:13:36,"435 Dorsey Pine, New Angelafurt, NV 50032"
1031,Wool Socks,Clothing,,7.99,2025-04-15 19:48:03,"Unit 3545 Box 8793, DPO AP 47289"
1032,USB-C Charging Cable,Electronics,1.0,11.95,2025-02-12 10:32:09,"Unit 2121 Box 9541, DPO AA 68630"
1033,Flatscreen TV,Electronics,,300.0,2025-01-26 14:25:18,"587 Roberts Bypass Suite 507, West Kristy, KS 18251"
